host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
f,City Park,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,65.0,30,1125,4,4,4,90,58,4.95,4.96,4.95,5.0,5.0,4.89,4.82,f
f,Central City,Entire residential home,Entire home/apt,10,4 baths,5.0,8.0,1200.0,4,365,20,50,80,324,72,4.83,4.75,4.85,4.97,4.94,4.66,4.62,f
t,Mid-City,Entire rental unit,Entire home/apt,6,1 bath,2.0,2.0,152.0,2,30,0,0,0,58,209,4.96,4.95,4.94,5.0,5.0,4.92,4.92,t
t,Marigny,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,175.0,3,30,13,36,64,285,152,4.89,4.89,4.83,4.96,4.97,4.78,4.83,t
f,St. Claude,Entire residential home,Entire home/apt,4,1 bath,1.0,2.0,75.0,30,1125,0,0,0,0,115,4.39,4.5,4.02,4.63,4.67,4.06,4.5,f
f,Central Business District,Entire loft,Entire home/apt,4,2 baths,1.0,2.0,286.0,30,1125,0,0,22,206,10,4.86,4.86,4.71,5.0,5.0,4.57,4.57,f
f,City Park,Entire guest suite,Entire home/apt,3,1 bath,1.0,2.0,75.0,30,365,0,0,0,0,90,4.83,4.91,4.95,4.94,4.87,4.92,4.88,f
f,Fairgrounds,Entire guesthouse,Entire home/apt,4,2 baths,2.0,2.0,246.0,2,1125,0,0,0,98,36,4.86,4.89,4.97,4.97,4.94,4.94,4.71,f
f,Fairgrounds,Entire guesthouse,Entire home/apt,4,1 bath,2.0,2.0,60.0,30,90,15,21,51,51,73,4.81,4.89,4.81,4.92,4.83,4.93,4.86,f
t,Touro,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,95.0,2,4,0,1,31,31,31,5.0,5.0,5.0,5.0,5.0,5.0,4.97,f
t,Marigny,Entire residential home,Entire home/apt,8,1 bath,2.0,4.0,106.0,2,1125,8,12,34,256,437,4.83,4.83,4.8,4.9,4.92,4.61,4.78,f
t,Audubon,Private room in residential home,Private room,2,1.5 baths,1.0,1.0,75.0,1,1125,18,48,78,340,225,4.95,4.95,4.92,4.99,5.0,4.92,4.88,t
